MCST NUMBER	MCST UEN	DEVELOPMENT NAME	DEVELOPMENT LOCATION	MCST ADDRESS	MCST STATUS	MC TEL NO	DATE OF MC CONSTITUTION	MANAGING AGENT	MA TEL NO		
1739	S93MC1739G	LEWIS LODGE	39 LEWIS ROAD 258612	564A BALESTIER ROAD - SINGAPORE 329880	ACTIVE	62502200	10/02/1993	NIL			
1740	S93MC1740D	3 Cuscaden Walk	3 CUSCADEN WALK 249690	3 CUSCADEN WALK 1-1 SINGAPORE 249690	ACTIVE	67379466	15/02/1993	SHIN PROPERTY SERVICES PTE LTD	67379466		
1741	S93MC1741L	RIVERSHIRE CONDOMINIUM	31 LEONIE HILL 239229	31 LEONIE HILL - SINGAPORE 239229	ACTIVE	68411524	22/02/1993	RAFFLES BUILDING SOLUTIONS PTE LTD	68411524		
1742	S93MC1742G	SUNNYVALE APARTMENT	134B LORONG K TELOK KURAU 425773	229 MOUNTBATTEN ROAD 03-36 SINGAPORE 398007	ACTIVE	62569333	22/02/1993	NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD	62569333		
1743	S93MC1743C	THE HOPE CENTRE	231 OUTRAM ROAD 169040	7 TEMASEK BOULEVARD 43-01 SINGAPORE 038987	ACTIVE	62251233	27/02/1993	MISSION HOUSE INVESTMENT PTE LTD (YEO CHENG BOON/HP 96623322)	62276662		
1744	S93MC1744K	FRAGRANT GARDENS	357A UPPER PAYA LEBAR ROAD 534960	357 UPPER PAYA LEBAR ROAD B1-01 SINGAPORE 534959	ACTIVE	64685100	03/03/1993	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100		
1745	S93MC1745F	(Terminated)		TERMINATED  - SINGAPORE 	TERMINATED		10/03/1993	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100		
1746	S93MC1746B	CALIN MANSION	30 LORONG 33 GEYLANG 387987	30 LORONG 33 GEYLANG 01-01 SINGAPORE 387987	ACTIVE	96368053	12/03/1993				
1747	S93MC1747J	LES JARDINS DE HOLLANDE (TERMINATED)	76B HOLLAND ROAD 258871	TERMINATED HOLLAND ROAD - SINGAPORE 	TERMINATED	97844221	12/03/1993	MCST			
1748	S93MC1748E	MINTON COURT	21 PAYA LEBAR CRESCENT 536046	21 PAYA LEBAR CRESCENT 01-04 SINGAPORE 536046	ACTIVE	96774692	15/03/1993				
1749	S93MC1749A	INSTITUTION VIEW	11 INSTITUTION HILL 239666	460 SIMS AVENUE - SINGAPORE 387601	ACTIVE	67443551	18/03/1993				
1750	S93MC1750J	LIAN FONG CREDIT & TRADING P.L.	106 JALAN JURONG KECHIL 598604	96 JALAN JURONG KECHIL - SINGAPORE 598599	ACTIVE	64683948	02/04/1993	NIL			
1751	S93MC1751E	BRIZAY PARK	9C BRIZAY PARK 279956	33 BERRIMA ROAD - SINGAPORE 299913	ACTIVE	62208411	06/04/1993	N			
1752	S93MC1752A		25/A/B/C TYRWHITT ROAD 207533	33A TYRWHITT ROAD - SINGAPORE 207535	TERMINATED	62916118	07/04/1993	NIL			
1753	S93MC1753H	BOON TECK ROAD	9 BOON TECK ROAD 329583	21 JOO KOON CRESCENT - SINGAPORE 629026	ACTIVE		14/04/1993	NIL			
1754	S93MC1754D	THE MORNINGSIDE	1 JALAN KUALA 239639	16 RAFFLES QUAY 11-01 SINGAPORE 048581	ACTIVE	62207535	15/04/1993	KINGSTON PROPERTY MAINTENANCE SERVICES PTE LTD	62207535		
1755	S93MC1755L	RUBY APARMENTS	25-29/A-C KIM KEAT CLOSE 328933	25C KIM KEAT CLOSE - SINGAPORE 328934	TERMINATED		05/05/1993	NIL			
1756	S93MC1756G	6 JALAN AMPAS	6 JALAN AMPAS 329507	1 JALAN KILANG TIMOR 08-02 SINGAPORE 159303	TERMINATED	64111666	07/05/1993	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100		
1757	S93MC1757C	SIMON PLAZA	2 KOVAN ROAD 548008	2 KOVAN ROAD 01-00 SINGAPORE 548008	ACTIVE	68427973	11/05/1993	PROMPTSERVE PROPERTY MANAGEMENT PTE LTD	91776959		
1758	123	1758	386/A/B/C UPPER EAST COAST ROAD 466476	12 UPPER EAST COAST ROAD - SINGAPORE 123	ACTIVE		17/05/1993	CHERN SERN PROPERTY SERVICES PTE LTD	67441083		
1759	S93MC1759F	BRISTOL LODGE	55 BRISTOL ROAD 219856	55C BRISTOL ROAD - SINGAPORE 219856	ACTIVE	96313452	19/05/1993	MCST			
1760	S93MC1760C	VILLA CHANCERITA	16 CHANCERY HILL ROAD 309657	292 RIVER VALLEY ROAD - SINGAPORE 238333	ACTIVE	67366001	26/05/1993	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD			
1761	S93MC1761K		21/A/B JOO CHIAT LANE 428098	35 KELANTAN LANE 02-15 SINGAPORE 208652	TERMINATED	62993182	26/05/1993	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD			
1762	S93MC1762F		4E LORONG 26 GEYLANG 398479	4 LORONG 26 GEYLANG - SINGAPORE 398479	ACTIVE	67411754	05/06/1993	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD			
1763	S93MC1763B	RIVERIA LODGE (TERMINATED)	6 RIVER VALLEY GROVE 238403	TERMINATED RIVER VALLEY GROVE - SINGAPORE 238403	TERMINATED	62727569	07/06/1993	DTZ DEBENHAM TIE LEUNG PROPERTY MANAGEMENT SERVICE PTE LTD	64179222		
1764	S93MC1764J	GRANGE MANSION (TERMINATED)		8 CROSS STREET 17-00 SINGAPORE 048424	TERMINATED		29/06/1993	DTZ DEBENHAM TIE LEUNG PROPERTY MANAGEMENT SERVICE PTE LTD	64179222		
1765	S93MC1765E	HAMPTON COURT	2 DRAYCOTT PARK 259386	2 DRAYCOTT PARK B1-01 SINGAPORE 259386	ACTIVE	67336845	30/06/1993	KIRIN PROPERTIES & SERVICES (PTE) LTD	67336845		
1766	S93MC1766A	CHANCERY PARK	11 CHANCERY LANE 309502	420 NORTH BRIDGE ROAD 06-01 SINGAPORE 188727	ACTIVE	63370087	05/07/1993	EARNEST MANAGEMENT SERVICES PTE LTD	63370087		
1767	S93MC1767H	CASA MELWANI	7 SURREY ROAD 307746	10 GENTING LANE 11-00 SINGAPORE 349583	ACTIVE	68480561	13/07/1993	B H MELWANI	68480561		
1768	S93MC1768D	CHNG HOLDINGS PTE LTD	120 ARTHUR ROAD 439828	2 OWEN ROAD - SINGAPORE 218842	TERMINATED	62993577	13/07/1993	B H MELWANI	68480561		
1769	S93MC1769L	EAST COAST MANSION	619/A/B EAST COAST ROAD 429085	615B EAST COAST ROAD - SINGAPORE 429085	TERMINATED	64470828	16/07/1993	B H MELWANI	68480561		
1770	S93MC1770H	BUONA LODGE	1 ZEHNDER ROAD 117686	1 ZEHNDER ROAD B1-01 SINGAPORE 117686	ACTIVE	62778138	20/07/1993	EM PROPERTY MANAGEMENT PTE LTD	62778077		
1771	S93MC1771D		10C SHREWSBURY ROAD 307811	TERMINATED SHREWSBURY ROAD - SINGAPORE 	TERMINATED		30/07/1993	EM PROPERTY MANAGEMENT PTE LTD	62778138		
1772	S93MC1772L	AFFLUENCE COURT	8 AH SOO GARDEN 539960	8 AH SOO GARDEN 01-01 SINGAPORE 539960	ACTIVE	62812188	30/07/1993				
1773	S93MC1773G	BAGNALL COURT	827 UPPER EAST COAST ROAD 466608	811 UPPER EAST COAST ROAD - SINGAPORE 466608	ACTIVE	62273233	11/08/1993	Bernard Valuers & Real Estate Consultants Pte Ltd	62273233		
1774	S93MC1774C	CHARLTON CORNER	1 CHARLTON LANE 539631	1 CHARLTON LANE - SINGAPORE 539631	ACTIVE	62857863	17/08/1993	LAND & BUILDING SERVICES	98345250		
1775	S93MC1775K		65/A/B KOON SENG ROAD 426998	63 KOON SENG ROAD - SINGAPORE 426998	ACTIVE	92961128	24/08/1993				
1776	S1500801F	HOLLAND HILL PARK	7 HOLLAND HILL 278731	7 HOLLAND HILL - SINGAPORE 278731	ACTIVE		08/09/1993	AV CONSULTANTS PTE LTD	67356255		
1777	S93MC1777B	SERAYA VILLE	25/A/B/C SERAYA LANE 437278	1557 KEPPEL ROAD 02-06A SINGAPORE 089066	ACTIVE	6223 0169	21/09/1993	SunProp Property and Assest Management Consultants Pte Ltd	62230170		
1778	S93MC1778J	MANAGEMENT CORPN STRATA TITLE PLAN NO 1778	61 LORONG 17 GEYLANG 388574	61 LORONG 17 GEYLANG - SINGAPORE 388574	ACTIVE	6735 0555	27/09/1993	NEWMAN & GOH PROPERTY CONSULTANT PTE LTD	62569333		
1779	S1289138E	JUNIPER AT ARDMORE	4A ARDMORE PARK 259951	6 ARDMORE PARK B1-01 SINGAPORE 259953	ACTIVE	62930809	27/09/1993	DTZ DEBENHAM TIE LEUNG  PROPERTY MANAGEMENT SERVICES PTE LTD	64179222		
1780	S93MC1780B		53/A/B CHANDER ROAD 219549	4 TOH TUCK ROAD 01-04 SINGAPORE 596678	ACTIVE	64679560	29/09/1993	NIL			
1781	S1136115C	ADAM PLACE	5D ADAM ROAD 289884	292 RIVER VALLEY ROAD - SINGAPORE 238333	ACTIVE	68387911	29/09/1993	Total Estate Management Services Pte Ltd	63452117		
1782	S93MC1782E	IVORY APARTMENTS	565/A/B/C EAST COAST ROAD 429080	1 JALAN KILANG TIMOR 08-02 SINGAPORE 159303	ACTIVE	64685100	11/10/1993	CHAMBERS PROPERTY MANAGEMENT SERVICES  PTE LTD	64685100		
1783	S93MC1783A	THE ALBANY	376 THOMSON ROAD 298130	376 THOMSON ROAD 01-01 SINGAPORE 298130	TERMINATED	62569333	11/10/1993	NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD	62569333		
1784	S93MC1784H	EASTSHORE COURT	25 LORONG M TELOK KURAU 425310	25 LORONG M TELOK KURAU 01-06 SINGAPORE 425310	TERMINATED		11/10/1993	MCST			
1785	S93MC1785D	MAYBELLE LODGE	38 LORONG K TELOK KURAU 425649	40 LORONG K TELOK KURAU - SINGAPORE 425651	ACTIVE	91805443	18/10/1993	MCST			
1786	S93MC1786L	ASTRID MEADOWS	38 CORONATION ROAD WEST 269257	50 CORONATION ROAD WEST 01-01 SINGAPORE 269264	ACTIVE	64624255	29/10/1993	CHESTERTON INTERNATIONAL PROPERTY CONSULTANTS PTE LTD	62218288		
1787	S93MC1787G	TERMINATED	T IRRAWADDY ROAD 329556	TERMINATED SHAN ROAD - SINGAPORE 	TERMINATED	62248181	15/11/1993	CHESTERTON INTERNATIONAL PROPERTY CONSULTANTS PTE LTD	62218288		
1788	S93MC1788C	THE SUMMIT	451 UPPER EAST COAST ROAD 466499	457 UPPER EAST COAST ROAD B2-01 SINGAPORE 466503	ACTIVE	64484508/3178	18/11/1993	KNIGHT FRANK ESTATE MANAGEMENT PTE LTD	63723033		
1789	S93MC1789K	MANAGEMENT CORPN STRATA TITLE PLAN NO 1789	133 NEW BRIDGE ROAD 59413	133 NEW BRIDGE ROAD 06-01 SINGAPORE 059413	ACTIVE	6534 0102	01/12/1993	EMPIRE CITY CONSULTANT PTE LTD	65130800		
1790	S93MC1790G	PALM LODGE	6 LORONG 37 GEYLANG 387904	6 LORONG 37 GEYLANG 01-01 SINGAPORE 387904	ACTIVE	67428187	08/12/1993	PROPMAN PTE LTD	97481051		
1791	S93MC1791C	ROYALE MANSIONS	13/A/B/C PULASAN ROAD 424380	5D PULASAN ROAD - SINGAPORE 424373	ACTIVE	67441083	08/12/1993	BARRINGHAM INTERNATIONAL PROPERTY MANAGEMENT PTE LTD	64664703		
1792	S93MC1792K	BUILDING DEMOLISHED (Terminated)		DEMOLISHED  - SINGAPORE 	TERMINATED	63482688	10/12/1993	CREATE DEVELOPMENT PTE LTD	63482688		
1793	S93MC1793F		9 LORONG 29 GEYLANG 388065	9 LORONG 29 GEYLANG - SINGAPORE 388065	ACTIVE	64411184	15/12/1993	A4 International Pte Ltd	64411184		
1794	S93MC1794B	GILSTEAD VIEW	2 GILSTEAD ROAD 309061		TERMINATED	67356255	22/12/1993	RAJAH & TANN LLP	62320503		
1795	S93MC1795J	MANAGEMENT CORPN STRATA TITLE PLAN NO 1795	2 KIM YAM ROAD 239320	2 KIM YAM ROAD - SINGAPORE 239320	ACTIVE	6256 9333	29/12/1993				
1796	s2550611A	TOPAZ MANSION	2 TOPAZ ROAD 327848	3006 UBI ROAD 1 03-370 SINGAPORE 408700	ACTIVE	67441083	12/01/1994	CHERN SERN PROPERTY SERVICES PTE LTD	67441083		
1797	S94MC1797F	KEPPEL TAT LEE BANK WAREHOUSE (Terminated)	36A WEST COAST ROAD 127344	TERMINATED WEST COAST ROAD - SINGAPORE 	TERMINATED		13/01/1994	CB RICHARD ELLIS PTE LTD	62248181		
1798	S94MC1798B	MANAGEMENT CORPN STRATA TITLE PLAN NO 1798	4 LORONG 19 GEYLANG 388489	4 LORONG 19 GEYLANG 01-01 SINGAPORE 338489	ACTIVE	9760 2709	13/01/1994	ALPHA REALTY MANAGEMENT PTE LTD	62525138		
1799	S94MC1799J	None	150F JOO CHIAT TERRACE 427295	150 JOO CHIAT TERRACE - SINGAPORE 427292	ACTIVE	64404882	26/01/1994	MCST			
1800	S94MC1800B	CHATEAU ELIZA	18 MOUNT ELIZABETH 228514	3 KALLANG WAY 2A 03-00 SINGAPORE 347493	TERMINATED	68427033	21/02/1994	Chamber Property Management Services Pte Ltd	64685100		
1801	S94MC1801J	THE WATERSIDE	1 TANJONG RHU ROAD 436879	13 TANJONG RHU ROAD 01-03 SINGAPORE 436897	ACTIVE	63452022	02/03/1994	NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD	62569333		
1802	S94MC1802E	DORSET MANSIONS	101/A/B/C DORSET ROAD 219493	99 DORSET ROAD - SINGAPORE 219493	ACTIVE	96452822	08/03/1994				
1803	S94MC1803A	GRACE APARTMENT	13 MATTAR ROAD 387721	13 MATTAR ROAD B1-01 SINGAPORE 387721	ACTIVE		09/03/1994				
1804	S94MC1804H	ORANGE COURT (Terminated)	6C ORANGE GROVE ROAD 258333	6C ORANGE GROVE ROAD 01-01 SINGAPORE 258333	TERMINATED	67378348	30/03/1994	N			
1805	S94MC1805D		100A JERVOIS ROAD 249057	186-200 HOLLAND ROAD - SINGAPORE 278583	ACTIVE	64649600	28/03/1994				
1806	S94MC1806L	SIMS 450 CENTRE	450B SIMS AVENUE 387540	450 SIMS AVENUE - SINGAPORE 387540	ACTIVE	97334144	05/05/1994	SUPER FOOD CENTRE	67460268		
1807	S94MC1807G	KINGSGROVE CONDOMINIUM	1801 ANG MO KIO AVENUE 1 569979	1801 ANG MO KIO AVENUE 1 - SINGAPORE 569979	ACTIVE	62569333	20/04/1994	CHESTERTON INTERNATIONAL PROPERTY CONSULTANTS PTE LTD	64331807		
1808	S94MC1808C	MCDONALD PLACE	11 KING ALBERT PARK 598292	7 KING ALBERT PARK - SINGAPORE 598289	TERMINATED	64673011	09/05/1994	KNIGHT FRANK ESTATE MANAGEMENT PTE LTD	63723033		
1809	S7702052G	TEMBELING GROVE	238 TEMBELING ROAD 423722	238 TEMBELING ROAD 01-01 SINGAPORE 423722	ACTIVE	64111671	17/03/1994	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64611696		
1810	S94MC1810G	SILAHIS APARTMENTS	121 LORONG K TELOK KURAU 425762	121 LORONG K TELOK KURAU 1-1 SINGAPORE 425762	ACTIVE	98292330	01/06/1994				
1811	S94MC1811C		35 LORONG K TELOK KURAU 425646	35 LORONG K TELOK KURAU - SINGAPORE 425646	ACTIVE	96737817	10/08/1994				
1812	S94MC1812K	WALDORF MANSIONS	235 BALESTIER ROAD 329699	531 UPPER CROSS STREET 04-12 SINGAPORE 050531	TERMINATED	63345565	23/03/1994	TOTAL ESTATE MANAGEMENT SERVICES PTE LTD	63452117		
1813	S94MC1813F	ANGULLIA PARK	12 ANGULLIA PARK 239972	564A BALESTIER ROAD - SINGAPORE 329880	TERMINATED	62501100	23/03/1994	TOTAL ESTATE MANAGEMENT SERVICES PTE LTD	63452117		
1814	S94MC1814B	DUNEARN COURT	392 DUNEARN ROAD 289602	50 CHIN SWEE ROAD 09-02 SINGAPORE 169874	ACTIVE	67322220	17/06/1994	SIERRA ASSET MANAGEMENT	67322220		
1815	S94MC1815J	BALESTIER TOWERS	207 BALESTIER ROAD 329683	11 LORONG 3 TOA PAYOH 01-18 SINGAPORE 319579	ACTIVE	62211313	31/03/1994	PROPERTY FACILITY SERVICES  PTE LTD	62211313		
1816	S94MC1816E	BASSEIN COURT	5 BASSEIN ROAD 309836	5 BASSEIN ROAD 01-00 SINGAPORE 309836	ACTIVE	64111685	30/05/1994	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100		
1817	S94MC1817A			TERMINATED  - SINGAPORE 	TERMINATED		21/04/1994	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64685100		
1818	S94MC1818H	51B CHANCERY LANE 	51/A/B/C CHANCERY LANE 309586	51B CHANCERY LANE - SINGAPORE 309586	ACTIVE	98221656	28/04/1994				
1819	S94MC1819D			TERMINATED  - SINGAPORE 	TERMINATED		20/09/1994	NIL			
1820	S94MC1820A	CHAPEL CLOSE	15/A CHAPEL CLOSE 429580	20 MAXWELL ROAD 12-01A SINGAPORE 069113	ACTIVE	65354600	16/06/1994	SCMS PROPERTY MANAGEMENT PTE LTD	65354600		
1821	S94MC1821H		793/A UPPER SERANGOON ROAD 534664	1557 KEPPEL ROAD 03-05B SINGAPORE 089066	ACTIVE	68420768	29/04/1994	ALADDIN MANAGEMENT SOLUTIONS  PTE LTD	68420768		
1822	S94MC1822D	THE COUNTRY ESQUIRE	20 LORONG PUNTONG 576436	20 LORONG PUNTONG 01-01 SINGAPORE 576436	ACTIVE	62569333	03/05/1994	NEWMAN & GOH PROPERTY CONSULTANTS ( PTE ) LTD	62569333		
1823	S94MC1823L		32 LORONG K TELOK KURAU 425641	32 LORONG K TELOK KURAU B1-00 SINGAPORE 425641	ACTIVE	64111671	04/10/1994	Chamber Property Management Services Pte Ltd	64111671		
1824	S94MC1824G	MANAGEMENT CORPN STRATA TITLE PLAN NO 1824	18 DUNEARN ROAD 309421	20 DUNEARN ROAD 01-01 SINGAPORE 309422	ACTIVE	63385533	28/09/1994	Pentagon Property Consultants Pte Ltd	63385533		
1825	S94MC1825C	KOVAN CENTRE	9 YIO CHU KANG ROAD 545523	9 YIO CHU KANG ROAD 02-33 SINGAPORE 545523	TERMINATED	62884078	27/07/1994	DTZ DEBENHAM TIE LEUNG PROPERTY MANAGEMENT SERVICES PTE LTD	64179222		
1826	S94MC1826K		120/A/B LORONG L TELOK KURAU 425553	19 FORT ROAD 01-01 SINGAPORE 439088	TERMINATED	63393922	03/06/1994	HUA JIE PTE LTD	63393922		
1827	S94MC1827F	ONE BALMORAL	1 BALMORAL ROAD 259784	519 BALESTIER ROAD 04-02 SINGAPORE 329852	TERMINATED	62557997	05/08/1994	ALPHA REALTY MANAGEMENT PTE LTD	62525138		
1828	S94MC1828B	FLORA EAST APARTMENTS	243/A/B/C JOO CHIAT PLACE 427929	231 JOO CHIAT PLACE - SINGAPORE 427927	ACTIVE	62569333	28/08/1994	NEWMAN & ASSOCIATES PTE LTD	62569333		
1829	S94MC1829J	CASA FELIZ	81 KOON SENG ROAD 427024	3006 UBI ROAD 1 03-370 SINGAPORE 408700	ACTIVE	67441083	27/06/1994	BARRINGHAM INTERNATIONAL PROPERTY MANAGEMENT PTE LTD	64664703		
1830	S94MC1830F	HENDERSON INDUSTRIAL PARK	213 HENDERSON ROAD 159556	213 HENDERSON ROAD 03-01 SINGAPORE 159553	ACTIVE	96712121	17/06/1994	HENDERSON PROPERTY CONSULTANTS	96712121		
1831	S94MC1831B	ST. PATRICK'S COURT	21A/B/C/D ST. PATRICKS ROAD 424152	21 / 33 ST. PATRICKS ROAD - SINGAPORE 424169	ACTIVE	66653880	17/06/1994	PROPMAG PROPERTY & FACILITY PTE LTD	66653880		
1832	S94MC1832J	MANAGEMENT CORPN STRATA TITLE PLAN NO 1832	79 MEYER ROAD 437906	79 MEYER ROAD 01-01 SINGAPORE 437906	ACTIVE	6344 3610	10/11/1994	KNIGHT FRANK ESTATE MANAGEMENT PTE LTD	63723033		
1833	S94MC1833E	CANNAVILLE	34 DUKU ROAD 429192	1A EBER ROAD - SINGAPORE 239756	ACTIVE	67348316	08/08/1994	FOCAL PROPERTY SERVICES	67348316		
1834	S94MC1834A	CARMI MANSIONS	38 LORONG 33 GEYLANG 387991	118 ALJUNIED AVENUE 2 04-102 SINGAPORE 380118	ACTIVE	63389883	29/06/1994	DAWSON PROPERTY MANAGEMENT PT LTD	63389883		
1835	S94MC1835H	HAIG MANSION	105/A/B/C/ HAIG ROAD 438750	103 - 105G HAIG ROAD - SINGAPORE 438750	TERMINATED	68421731	10/08/1994	LANDSFIELD PROPERTY MANAGEMENT PTE LTD	68421731		
1836	S94MC1836D	MALAYSIA GARMENT MANUFACTURERS PTE LTD	8 PEREIRA ROAD 368026	9 LITTLE ROAD 02-02 SINGAPORE 536985	ACTIVE	62833416	06/10/1994	MCST			
1837	S94MC1837L	THE REGALIA	2 RIVER VALLEY CLOSE 238428	229 MOUNTBATTEN ROAD 03-36 SINGAPORE 398007	ACTIVE	62569333	30/09/1994	BARRINGHAM INTERNATIONAL PROPERTY MANAGEMENT PTE LTD	64664703		
1838	S94MC1838G	BOON TECK LODGE	46 BOON TECK ROAD 329610	531 UPPER CROSS STREET 04-12 SINGAPORE 050531	ACTIVE	3345565	16/09/1994	ASCENT PROPERTY MANAGEMENT SERVICES PTE LTD	64497141		
1839	S94MC1839C	AMBER APARTMENTS	16 AMBER ROAD 439866	150 CHANGI ROAD 04-03 SINGAPORE 419973	TERMINATED	63379189	29/07/1994	DTZ DEBENHAM TIE LEUNG PROPERTY MANAGEMENT SERVICES PTE LTD	64179222		
1840	S94MC1840L		9/A JALAN PINANG 199137	1 YUK TONG AVENUE 1-1 SINGAPORE 596306	ACTIVE	64661342	18/08/1994	PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD	64661342		
1841	S94MC1841G	CAVENAGH MANSIONS	63 CAVENAGH ROAD 229618	63 CAVENAGH ROAD B1-01 SINGAPORE 229618	TERMINATED	62249118	14/11/1994	PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD	64661342		
1842	S94MC1842C	VISIN APARTMENTS	9 SURREY ROAD 307747	9 SURREY ROAD 01-01 SINGAPORE 307747	ACTIVE	65324460	29/12/1994	VISING CONSTRUCTION CO PTE LTD	65324460		
1843	S94MC1843K	MORO MANSIONS	3 LORONG 37 GEYLANG 387901	3 LORONG 37 GEYLANG 01-01 SINGAPORE 387901	ACTIVE	62255355	26/09/1994	MCST			
1844	S94MC1844F	AIRVIEW TOWERS	6 ST. THOMAS WALK 238102	10 ST. THOMAS WALK 01-01 SINGAPORE 238102	TERMINATED	68420768	26/10/1994	ALADDIN MANAGEMENT SOLUTIONS PTE LTD	68420768		
1845	S94MC1845B	THE ASPINE	5 BALMORAL ROAD 259786	139 CAVENAGH ROAD 01-01 SINGAPORE 229627	TERMINATED	67366007	07/09/1994	HOE-TAN CO PTE LTD	67366007		
1846	S94MC1846J	PROMISES GARDENS	55 JALAN LIM TAI SEE 268386	55 JALAN LIM TAI SEE B1-01 SINGAPORE 268386	TERMINATED	64690147	04/11/1994	COLLIERS INTERNATIONAL CONSULTANT VALUATION (S) PTE LTD	62232323		
1847	S94MC1847E	GLENEAGLES MEDICAL CENTRE	6 NAPIER ROAD 258499	6 NAPIER ROAD 10-12 SINGAPORE 258499	ACTIVE	64703417	21/11/1994	MCST	64703417		
1848	S94MC1848A	KEMAMAN POINT	5 JALAN KEMAMAN 329325	5 JALAN KEMAMAN 01-01 SINGAPORE 329325	ACTIVE	65111823	23/12/1994	LANDSFIELD PROPERTY CONSULTANTS PTE LTD	68421731		
1849	S95MC1849B	BULLION PARK CONDOMINIUM	172 LENTOR LOOP 789100	172 LENTOR LOOP 02-01 SINGAPORE 789100	ACTIVE	64553217	04/04/1995	NIL			
1850	S94MC1850E	LE CONNEY PARK	87 LORONG L TELOK KURAU 425525	87/89 LORONG L TELOK KURAU - SINGAPORE 425525	ACTIVE	62569333	03/10/1994	NEWMAN & GOH PROPERTY CONSULTANTS PTE LTD	62569333		
1851	S94MC1851A	MORIMASA GARDENS	11 GILSTEAD ROAD 309065	11 GILSTEAD ROAD - SINGAPORE 309065	ACTIVE		28/10/1994	IN HOUSE MANAGEMENT			
1852	S94MC1852H	(Terminated)		TERMINATED  - SINGAPORE 	TERMINATED		11/11/1994	IN HOUSE MANAGEMENT			
1853	S95MC1853J	CITITECH INDUSTRIAL BUILDING	629 ALJUNIED ROAD 389838	629 ALJUNIED ROAD 02-01 SINGAPORE 389838	ACTIVE	67465645	17/02/1995	PROPMAG MANAGEMENT SERVICES PTE LTD	66653880		
1854	S95MC1854E	MARYMOUNT VIEW	11 PEMIMPIN DRIVE 576148	11 PEMIMPIN DRIVE 02-03 SINGAPORE 576148	ACTIVE	62569333	23/03/1995				
1855	S2018989F	GREEN LANE APARTMENT	3E/F/G/H GREEN LANE 438898	3H GREEN LANE - SINGAPORE 438898	ACTIVE	96737817	11/10/1994	GARDENEA MANAGEMENT SERVICES	96737817		
1856	S94MC1856C	MARGATE MANSION	12 MARGATE ROAD 438053	1B ALIWAL STREET - SINGAPORE 199894	TERMINATED	67356255	25/10/1994	AV CONSULTANTS PTE LTD	67356255		
1857	S95MC1857D	SIN MING PLAZA	2 SIN MING ROAD 575583	4 SIN MING ROAD 01-01 SINGAPORE 575584	ACTIVE	64520643	10/01/1995	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64111679		
1858	S95MC1858L	HOLLYWOOD APARTMENTS	104-104D OXLEY RISE 238703	2 KALLANG AVENUE 09-28 SINGAPORE 339407	ACTIVE	67356255	25/01/1995	AV Consultants Pte Ltd	67356255		
1859	S95MC1859G	HOLLYWOOD APARTMENTS	108 OXLEY RISE 238705	2 KALLANG AVENUE 09-28 SINGAPORE 339407	ACTIVE	67356255	25/01/1995	AV Consultants Pte Ltd	67356255		
1860	S95MC1860D	LA SUISSE I	58 SWISS VIEW 288061	519 BALESTIER ROAD 04-02 SINGAPORE 329852	ACTIVE	62557997	27/03/1995	CHERN SERN PROPERTY SERVICES PTE LTD	67441083		
1861	S95MC1861L	LA SUISSIE II	3 SWISS VIEW 288009	3 SWISS VIEW - SINGAPORE 288008	ACTIVE	67441083	27/03/1995	CHERN SERN PROPERTY SERVICES  PTE LTD	67441083		
1862	S94MC1862B	CASA ESPERANZA	995 BUKIT TIMAH ROAD 589632	995 BUKIT TIMAH ROAD 01-01 SINGAPORE 589632	ACTIVE	64662251	11/11/1994	CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD	64111683		
1863	S94MC1863J	VILLE ROYALE	310 RIVER VALLEY ROAD 238351	312 RIVER VALLEY ROAD B1-01 SINGAPORE 238352	ACTIVE	68776599	28/11/1994	REALTY INTERNATIONAL ASSOCIATE PTE LTD	68776599		
1864	s94mc1864E	MANAGEMENT CORPN STRATA TITLE PLAN NO 1864	99/A/B HIGHLAND ROAD 549172	93C HIGHLAND ROAD - SINGAPORE 549171	ACTIVE	6285 7863	23/12/1994	LAND & BUILDING SERVICES	62857863		
1865	S94MC1865A	(Terminated)		TERMINATED  - SINGAPORE 	TERMINATED		24/12/1994	LAND & BUILDING SERVICES	62857863		
1866	S95MC1866B	SKT MANSION	38 LORONG 25 GEYLANG 388307	531 UPPER CROSS STREET 04-12 SINGAPORE 050531	ACTIVE	63345565	07/08/1995	DICKSON FACILITIES & STRATA MANAGEMENT	63345565		
